Type,ID,Name,Event
"EAN13","4710782176546","396260 西雅圖極品大濾掛咖啡（藍山）",""
"EAN13","4710782176683","521593 西雅圖曼特寧極品大濾掛咖啡",""
"EAN13","4710782177512","379233 西雅圖雙倍濃縮無加糖2+1（盒）",""
"EAN13","4710782178502","396115 西雅圖雙倍濃縮3+1（盒）",""
"EAN13","4710784964165","383359 ICE比菲多原味",""
"EAN13","4710784968309","526596 棒棒優希臘式優格雪糕-原味燕麥",""
"EAN13","4710784968323","526685 棒棒優希臘式優格雪糕-草莓",""
"EAN13","4710981565011","376674 喜生照燒牛肉三角飯糰",""
"EAN13","4710981565028","382335 喜生冠軍飯糰（年輪飯糰）",""
"EAN13","4711046113185","581912 BioLead小蘇打洗衣粉補充包1.4kg",""
"EAN13","4711946901349","308023 爭鮮黃金甜玉米粒",""
"EAN13","4712572330091","339667 呷七碗台式炒麵",""
"EAN13","4712876829932","539409 最乾淨毛巾2入",""
"EAN13","4712927550686","575045 老協珍熬雞精一入",""
"EAN13","4712927551102","533251 老協珍人蔘精",""
"EAN13","4712927551874","548298 TOMMI湯米-鮭魚起司米漢堡",""
"EAN13","4712927551881","548548 TOMMI湯米-壽喜燒牛肉米漢堡",""
"EAN13","4712927553076","828238 老協珍熬雞精一入—暖薑",""
"EAN13","4712927553984","854311 TOMMI湯米-韓式燒肉米漢堡",""
"EAN13","4712927554370","995623 TOMMI湯米-麻油杏鮑菇米漢堡",""
"EAN13","4712927554752","989496 老協珍美顏飲 65ml",""
"EAN13","4713145009321","605353 (熱)蠟筆小新蜂蜜風味牛乳CAN240",""
"EAN13","4713145009345","595804 (熱)蠟筆小新焦糖風味牛乳CAN240",""
"EAN13","4713145009437","592202 栗庵甘栗仁",""
"EAN13","4713213502976","346087 芊柔 xSNOOPY 純水濕巾80抽-春遊",""
"EAN13","4713410990583","712190 我的心機超能安瓶保濕面膜4入",""
"EAN13","4713410991580","338556 我的心機香氛涼感防曬噴霧SPF50 90ml",""
"EAN13","4713410991597","338796 我的心機精油香氛防喔噴霧SPF50 90ml",""
"EAN13","4713410993041","329483 我的心機超能安瓶透白面膜4入",""
"EAN13","4713410993065","328752 我的心機超能安瓶水潤面膜4入",""
"EAN13","4713410994253","609926 我的心機 極輕柔細緻洗臉巾100抽",""
"EAN13","4713469432645","909314 DUSKIN餐具洗潔精300ML",""
"EAN13","4713575085278","354312 自白肌玻尿酸防曬乳SPF50","20260814_五六日_030"
"EAN13","4713575101343","391374 美麗日記保濕能亮黑珍珠面膜6入",""
"EAN13","4713575101367","395664 美麗日記修護能亮黑珍珠面膜6入",""
"EAN13","4713575127848","635097 美麗日記蜜若藍超能補水面膜2入",""
"EAN13","4713575130206","813998 利捷維有酵金盞花葉黃素精華飲",""
"EAN13","4713575133962","535459 自白肌玻尿酸涼感防曬噴霧90ml",""
"EAN13","4713869002332","526024 babydream海洋深層水濕巾70抽3入",""
"EAN13","4713869002431","584972 寶可夢沙灘海洋深層水厚濕巾80抽",""
"EAN13","4713869002448","585099 寶可夢集合海洋深層水厚濕巾80抽",""
"EAN13","4714108909009","356685 今川農場蜂蜜黑木耳露",""
"EAN13","4716872044986","338562 我的心機亮白保濕防曬噴霧SPF50 90ml",""
"EAN13","4717431100334","402738 Panasonic鹼性3號10入",""
"EAN13","4717431100341","402741 Panasonic鹼性4號10入",""
"EAN13","4718008517777","934630 儂儂棉襪5入組",""
"EAN13","4718008519450","523823 儂儂3入中筒棉襪",""
"EAN13","4718201213148","308815 EXTRA無糖口香糖香甜葡萄口味",""
"EAN13","4718201217115","391407 Extra潔淨無糖口番糖青蘋萊姆",""
"EAN13","4891259324124","177306 金頂鹼性3號電池4+2",""
"EAN13","4893565200918","386267 SHEBA金罐鮮湯鮪魚片",""
"EAN13","4893565200925","385997 SHEBA金罐鮪魚及蟹肉",""
"EAN13","4897878870011","536502 日清一風堂豚骨湯味白丸速食麵",""
"EAN13","4897878870028","536504 日清一風堂辣豚骨湯味赤丸速食麵",""
"EAN13","4901133716584","434542 CIAO啾嚕肉泥（鰹魚）",""
"EAN13","4901133718298","434517 CIAO啾嚕肉泥-化毛配方（鮪魚）",""
"EAN13","4901170000905","355112 嘎哩嘎哩君剉冰棒-蘇打",""
"EAN13","4901170002282","616220 嘎哩嘎哩君剉冰棒-巨峰葡萄味",""
"EAN13","4901170002602","509999 嘎哩嘠哩君剉冰棒-漂浮可樂風味",""
"EAN13","4901170020958","510020 大人系嘎哩君剉冰棒-蘋果風味",""
"EAN13","4901201150609","569387 UCC赤濃醇黑咖啡CAN185",""
"EAN13","4901201208096","439352 UCC無糖咖啡CAN185g",""
"EAN13","4901301419057","598159 Attack一匙靈極效洗衣霸 24入",""
"EAN13","4901360291229","307642 Bourbon FET葡萄軟糖",""
"EAN13","4901360351497","547982 Bourbon一口巧克力夾心餅乾",""
"EAN13","4901360353958","591924 Bourbon Choco巧克力布朗尼棒",""
"EAN13","4901360353965","591860 Bourbon Choco牛奶巧布朗尼棒",""
"EAN13","4901360803507","838611 Bourbon FET可樂口味軟糖",""
"EAN13","4901411034386","361885 KIRIN午後紅茶-原味紅茶PET500",""
"EAN13","4901411034447","361943 KIRIN午後紅茶-檸檬紅茶PET500",""
"EAN13","4901592929211","542281 義大利皮米堤沃紅葡萄酒",""
"EAN13","4901592929228","542273 西班牙慕維德爾紅葡萄酒",""
"EAN13","4902704881052","116776 國際牌3號電池4入",""
"EAN13","4902750404137","422625 味覺糖OPEN小將綜合水果條糖",""
"EAN13","4902750414952","657215 味覺糖OPEN小將黑糖珍奶條糖",""
"EAN13","4902750448940","594198 味覺糖OPEN小將西瓜汽水條糖",""
"EAN13","4902775054935","373927 星太郎超寬條餅-雞汁口味",""
"EAN13","4902777025902","905118 明治牛奶巧克力（條裝）",""
"EAN13","4902777026084","905105 明治黑可可製品條裝",""
"EAN13","4902888334115","474618 森永牛奶糖雪派",""
"EAN13","4902888973659","457766 森永抹茶牛奶糖雪派",""
"EAN13","4903032242393","381389 雷神巧克力餅乾香醇奶油",""
"EAN13","4903032242409","345024 黑雷神牛奶巧克力餅乾",""
"EAN13","4903032242690","574119 日本黑雷神馥郁巧克力蛋糕餅乾",""
"EAN13","4904680966563","916903 日本7PREMIUM 油炸茄子佐和風高湯",""
"EAN13","4909411096472","510415 KIRIN午後紅茶-熱紅茶PET400",""
"EAN13","4909411096519","510433 KIRIN午後紅茶-熱檸檬紅茶PET400",""
"EAN13","4955129012747","311072 日本Tarami蒟蒻凍飲-水蜜桃風味",""
"EAN13","4955129012754","310854 日本Tarami蒟蒻凍飲-葡萄風味",""
"EAN13","4955129012761","312480 日本Tarami蒟蒻凍飲-蘋果風味",""
"EAN13","4969244508252","366722 泰國PunBun奶油吐司餅乾隨手包",""
"EAN13","4969244508276","366738 泰國PunBun大蒜吐司餅乾隨事包",""
"EAN13","4971710491814","828924 雪肌粹完美BB霜01（明亮肌）",""
"EAN13","4971710491821","828928 雪肌粹完美BB霜02（自然肌）",""
"EAN13","4973480422708","568960 7PREMIUM優勝美地氣泡葡萄酒",""
"EAN13","4973480422715","568950 7PREMIUM 優勝美地氣泡粉紅酒",""
"EAN13","4976994150839","530574 哈根達斯濃旨焦糖雪酥",""
"EAN13","4976994150976","567107 哈根達斯日式黃豆粉奶霜蛋糕雪酥",""
